camera_base_pose.position.x=1.95809 camera_base_pose.position.y=-0.240148 camera_base_pose.position.z=-0.359688
camera_base_pose.position.x=1.99436 camera_base_pose.position.y=-0.247391 camera_base_pose.position.z=-0.35568
camera_base_pose.position.x=2.01891 camera_base_pose.position.y=-0.27465 camera_base_pose.position.z=-0.37578
camera_base_pose.position.x=2.01925 camera_base_pose.position.y=-0.263071 camera_base_pose.position.z=-0.365094
camera_base_pose.position.x=2.07019 camera_base_pose.position.y=-0.257388 camera_base_pose.position.z=-0.353648
camera_base_pose.position.x=2.08577 camera_base_pose.position.y=-0.254825 camera_base_pose.position.z=-0.358046
camera_base_pose.position.x=2.12114 camera_base_pose.position.y=-0.261087 camera_base_pose.position.z=-0.383364
camera_base_pose.position.x=2.11194 camera_base_pose.position.y=-0.259037 camera_base_pose.position.z=-0.373093
camera_base_pose.position.x=2.1439 camera_base_pose.position.y=-0.251714 camera_base_pose.position.z=-0.378773
camera_base_pose.position.x=2.15974 camera_base_pose.position.y=-0.248897 camera_base_pose.position.z=-0.353798
camera_base_pose.position.x=2.22363 camera_base_pose.position.y=-0.287215 camera_base_pose.position.z=-0.411546
camera_base_pose.position.x=2.21149 camera_base_pose.position.y=-0.263501 camera_base_pose.position.z=-0.385036
camera_base_pose.position.x=2.2345 camera_base_pose.position.y=-0.244567 camera_base_pose.position.z=-0.389021
camera_base_pose.position.x=2.25974 camera_base_pose.position.y=-0.285038 camera_base_pose.position.z=-0.400465
camera_base_pose.position.x=2.25894 camera_base_pose.position.y=-0.251147 camera_base_pose.position.z=-0.383053
camera_base_pose.position.x=2.28019 camera_base_pose.position.y=-0.260609 camera_base_pose.position.z=-0.388159
camera_base_pose.position.x=2.30737 camera_base_pose.position.y=-0.253397 camera_base_pose.position.z=-0.391365
camera_base_pose.position.x=2.32853 camera_base_pose.position.y=-0.256947 camera_base_pose.position.z=-0.386593
camera_base_pose.position.x=2.3602 camera_base_pose.position.y=-0.296885 camera_base_pose.position.z=-0.424984
camera_base_pose.position.x=2.38396 camera_base_pose.position.y=-0.29669 camera_base_pose.position.z=-0.410965
camera_base_pose.position.x=2.36776 camera_base_pose.position.y=-0.287461 camera_base_pose.position.z=-0.408075
camera_base_pose.position.x=2.38145 camera_base_pose.position.y=-0.297269 camera_base_pose.position.z=-0.391318
camera_base_pose.position.x=2.42327 camera_base_pose.position.y=-0.296589 camera_base_pose.position.z=-0.420008
camera_base_pose.position.x=2.44334 camera_base_pose.position.y=-0.316665 camera_base_pose.position.z=-0.425678
camera_base_pose.position.x=2.48657 camera_base_pose.position.y=-0.326023 camera_base_pose.position.z=-0.414764
camera_base_pose.position.x=2.53056 camera_base_pose.position.y=-0.325195 camera_base_pose.position.z=-0.438481
camera_base_pose.position.x=2.56018 camera_base_pose.position.y=-0.317924 camera_base_pose.position.z=-0.439111
camera_base_pose.position.x=2.59809 camera_base_pose.position.y=-0.307869 camera_base_pose.position.z=-0.432567
camera_base_pose.position.x=2.63591 camera_base_pose.position.y=-0.30014 camera_base_pose.position.z=-0.452109
camera_base_pose.position.x=2.64866 camera_base_pose.position.y=-0.323638 camera_base_pose.position.z=-0.456548
camera_base_pose.position.x=2.6746 camera_base_pose.position.y=-0.313738 camera_base_pose.position.z=-0.441634
