ALLrealsec=0 ,realsec=0 ,CameraLM[4][0]=3.01654,CameraLM[4][1]=0.265728
ALLrealsec=28.4515 ,realsec=0.113556 ,CameraLM[6][0]=5.28258,CameraLM[6][1]=-0.194987
ALLrealsec=28.6816 ,realsec=0.095055 ,CameraLM[6][0]=5.27458,CameraLM[6][1]=-0.187155
ALLrealsec=28.7984 ,realsec=0.116831 ,CameraLM[6][0]=5.31311,CameraLM[6][1]=-0.187155
ALLrealsec=28.8851 ,realsec=0.086754 ,CameraLM[6][0]=5.31469,CameraLM[6][1]=-0.188723
ALLrealsec=29.0004 ,realsec=0.115301 ,CameraLM[6][0]=5.27934,CameraLM[6][1]=-0.191857
ALLrealsec=29.3043 ,realsec=0.090623 ,CameraLM[6][0]=5.21414,CameraLM[6][1]=-0.201236
ALLrealsec=29.4217 ,realsec=0.117402 ,CameraLM[6][0]=5.22088,CameraLM[6][1]=-0.207469
ALLrealsec=29.5355 ,realsec=0.113745 ,CameraLM[6][0]=5.22782,CameraLM[6][1]=-0.213685
ALLrealsec=29.6727 ,realsec=0.137277 ,CameraLM[6][0]=5.19207,CameraLM[6][1]=-0.215237
ALLrealsec=29.7723 ,realsec=0.099557 ,CameraLM[6][0]=5.15696,CameraLM[6][1]=-0.216787
ALLrealsec=29.8767 ,realsec=0.104401 ,CameraLM[6][0]=5.15872,CameraLM[6][1]=-0.218337
ALLrealsec=30.0129 ,realsec=0.136154 ,CameraLM[6][0]=5.15872,CameraLM[6][1]=-0.218337
ALLrealsec=30.1387 ,realsec=0.125811 ,CameraLM[6][0]=5.1641,CameraLM[6][1]=-0.222978
ALLrealsec=30.2794 ,realsec=0.140699 ,CameraLM[6][0]=5.12784,CameraLM[6][1]=-0.222978
ALLrealsec=30.53 ,realsec=0.137975 ,CameraLM[6][0]=5.0237,CameraLM[6][1]=-0.226068
ALLrealsec=30.6811 ,realsec=0.151125 ,CameraLM[6][0]=5.09481,CameraLM[6][1]=-0.226068
ALLrealsec=30.7639 ,realsec=0.082772 ,CameraLM[6][0]=5.06123,CameraLM[6][1]=-0.227611
ALLrealsec=30.8231 ,realsec=0.059184 ,CameraLM[6][0]=5.06304,CameraLM[6][1]=-0.229152
ALLrealsec=30.9103 ,realsec=0.087269 ,CameraLM[6][0]=5.06304,CameraLM[6][1]=-0.229152
ALLrealsec=31.0066 ,realsec=0.096262 ,CameraLM[6][0]=5.06487,CameraLM[6][1]=-0.230693
ALLrealsec=31.1284 ,realsec=0.121794 ,CameraLM[6][0]=5.06487,CameraLM[6][1]=-0.230693
ALLrealsec=31.2402 ,realsec=0.11185 ,CameraLM[6][0]=4.99593,CameraLM[6][1]=-0.232233
ALLrealsec=31.3764 ,realsec=0.136156 ,CameraLM[6][0]=4.96481,CameraLM[6][1]=-0.235309
ALLrealsec=31.5279 ,realsec=0.151468 ,CameraLM[6][0]=5.00144,CameraLM[6][1]=-0.236845
ALLrealsec=31.6377 ,realsec=0.109839 ,CameraLM[6][0]=4.93268,CameraLM[6][1]=-0.236845
ALLrealsec=31.7595 ,realsec=0.1218 ,CameraLM[6][0]=4.90082,CameraLM[6][1]=-0.23838
ALLrealsec=31.8964 ,realsec=0.136882 ,CameraLM[6][0]=4.90082,CameraLM[6][1]=-0.23838
ALLrealsec=31.9871 ,realsec=0.090735 ,CameraLM[6][0]=4.86866,CameraLM[6][1]=-0.239914
ALLrealsec=32.1809 ,realsec=0.098448 ,CameraLM[6][0]=4.87234,CameraLM[6][1]=-0.242978
ALLrealsec=32.2958 ,realsec=0.114934 ,CameraLM[6][0]=4.8429,CameraLM[6][1]=-0.246038
ALLrealsec=32.3886 ,realsec=0.092741 ,CameraLM[6][0]=4.78127,CameraLM[6][1]=-0.249093
ALLrealsec=32.5001 ,realsec=0.111557 ,CameraLM[6][0]=4.85043,CameraLM[6][1]=-0.252143
ALLrealsec=32.6008 ,realsec=0.100719 ,CameraLM[6][0]=4.84853,CameraLM[6][1]=-0.250619
ALLrealsec=32.7177 ,realsec=0.116898 ,CameraLM[6][0]=4.78689,CameraLM[6][1]=-0.253667
ALLrealsec=32.8162 ,realsec=0.098419 ,CameraLM[6][0]=4.75469,CameraLM[6][1]=-0.253667
ALLrealsec=32.9393 ,realsec=0.123136 ,CameraLM[6][0]=4.72473,CameraLM[6][1]=-0.255189
ALLrealsec=33.0605 ,realsec=0.121196 ,CameraLM[6][0]=4.66591,CameraLM[6][1]=-0.25823
ALLrealsec=33.1835 ,realsec=0.123037 ,CameraLM[6][0]=4.45946,CameraLM[6][1]=-0.259748
ALLrealsec=33.3126 ,realsec=0.129032 ,CameraLM[6][0]=4.54506,CameraLM[6][1]=-0.25823
ALLrealsec=33.4371 ,realsec=0.124572 ,CameraLM[6][0]=4.51366,CameraLM[6][1]=-0.25671
ALLrealsec=33.5711 ,realsec=0.133996 ,CameraLM[6][0]=4.48697,CameraLM[6][1]=-0.25823
ALLrealsec=33.6576 ,realsec=0.086426 ,CameraLM[6][0]=4.48697,CameraLM[6][1]=-0.25823
ALLrealsec=33.7767 ,realsec=0.119175 ,CameraLM[6][0]=4.43126,CameraLM[6][1]=-0.259748
ALLrealsec=33.9166 ,realsec=0.139893 ,CameraLM[6][0]=4.40893,CameraLM[6][1]=-0.264296
ALLrealsec=34.0322 ,realsec=0.115613 ,CameraLM[6][0]=4.38464,CameraLM[6][1]=-0.267322
ALLrealsec=34.173 ,realsec=0.14078 ,CameraLM[6][0]=4.41995,CameraLM[6][1]=-0.273359
ALLrealsec=34.3213 ,realsec=0.148285 ,CameraLM[6][0]=4.42182,CameraLM[6][1]=-0.274865
ALLrealsec=34.377 ,realsec=0.055706 ,CameraLM[6][0]=4.4237,CameraLM[6][1]=-0.27637
ALLrealsec=34.5115 ,realsec=0.134458 ,CameraLM[6][0]=4.37198,CameraLM[6][1]=-0.279376
